Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Any Backlogs?,Innovative Project(Y/N),Communication level,Technical skills(Y/N),Coding Score,Aptitude Score,Hackathons Count,Certifications Count,Placement(Y/N)?
Female,CBSE,35.0,ICSE,50.4,Information Technology,5.24,No,Yes,Yes,Yes,4,No,27,39,2,2,Not Placed
Male,ICSE,77.2,CBSE,62.9,Mechanical,7.46,Yes,Yes,Yes,Yes,2,Yes,58,64,0,2,Placed
Male,CBSE,76.9,State,46.0,Other,6.02,Yes,No,Yes,Yes,2,No,65,26,2,1,Not Placed
Female,State,35.0,ICSE,35.3,Civil,3.0,Yes,No,No,Yes,2,Yes,16,3,2,1,Not Placed
Male,CBSE,73.2,State,74.6,Electrical,9.18,Yes,Yes,Yes,No,4,No,84,94,2,0,Placed
Male,Other,35.0,State,50.8,Civil,6.35,Yes,Yes,Yes,Yes,2,Yes,20,24,0,0,Not Placed
Male,CBSE,47.2,CBSE,42.3,Electronics,5.31,No,No,Yes,No,5,Yes,29,39,1,0,Not Placed
Male,CBSE,69.4,CBSE,42.1,Computer Science,6.6,Yes,No,Yes,Yes,4,Yes,60,43,1,1,Placed
Female,State,67.0,State,80.0,Mechanical,8.05,No,Yes,Yes,Yes,3,No,65,63,2,2,Placed
Male,ICSE,100.0,State,83.8,Mechanical,10.0,Yes,Yes,No,Yes,4,Yes,67,80,3,3,Placed
Female,State,35.0,State,35.0,Mechanical,3.0,Yes,Yes,No,No,1,Yes,29,21,2,1,Not Placed
Male,CBSE,86.5,CBSE,47.2,Information Technology,7.67,Yes,Yes,No,Yes,4,Yes,51,65,0,2,Placed
Male,CBSE,79.6,State,47.1,Electronics,6.58,Yes,Yes,No,No,3,Yes,64,56,0,0,Placed
Female,ICSE,48.6,CBSE,43.8,Information Technology,5.87,Yes,No,No,Yes,1,Yes,75,21,0,0,Placed
Male,Other,69.4,State,86.4,Electronics,6.9,Yes,Yes,No,No,4,Yes,56,52,0,1,Placed
Female,ICSE,62.7,ICSE,58.7,Computer Science,8.61,Yes,Yes,Yes,No,3,Yes,66,51,1,1,Placed
Female,State,35.0,ICSE,45.4,Electrical,3.0,No,No,No,No,3,Yes,11,7,0,0,Not Placed
Female,Other,86.2,CBSE,77.4,Computer Science,8.84,No,Yes,No,Yes,4,Yes,82,83,0,0,Placed
Female,CBSE,35.0,ICSE,35.0,Computer Science,3.0,Yes,No,Yes,Yes,4,Yes,31,37,0,2,Not Placed
Female,State,48.6,State,35.0,Information Technology,4.02,Yes,Yes,No,Yes,3,Yes,20,0,1,0,Placed
Female,State,47.1,State,35.0,Mechanical,4.51,Yes,Yes,No,Yes,5,Yes,36,26,4,1,Placed
Male,State,79.4,CBSE,71.5,Information Technology,9.43,Yes,Yes,No,No,3,Yes,97,84,5,3,Placed
Male,ICSE,40.9,State,35.0,Computer Science,5.47,Yes,Yes,No,No,3,Yes,24,37,0,3,Placed
Male,State,61.0,CBSE,35.0,Electronics,7.01,Yes,Yes,Yes,Yes,4,Yes,45,49,3,0,Placed
Male,CBSE,66.0,State,91.9,Information Technology,6.84,No,Yes,Yes,Yes,1,Yes,65,72,1,0,Placed
Male,CBSE,47.7,CBSE,48.2,Other,5.89,Yes,Yes,Yes,Yes,4,Yes,36,53,2,0,Placed
Male,CBSE,47.7,CBSE,35.0,Electrical,3.34,No,No,Yes,Yes,3,Yes,11,29,1,0,Not Placed
Female,State,50.6,CBSE,46.4,Electronics,4.77,Yes,Yes,No,No,5,Yes,20,46,3,0,Placed
Male,CBSE,78.2,CBSE,62.7,Information Technology,8.2,No,No,Yes,Yes,3,Yes,46,81,1,1,Placed
Male,CBSE,55.9,CBSE,35.0,Civil,5.85,Yes,No,Yes,Yes,2,Yes,41,35,0,0,Not Placed
Female,State,78.5,State,100.0,Computer Science,10.0,No,Yes,Yes,Yes,3,Yes,86,88,2,1,Placed
Male,State,59.3,CBSE,64.8,Information Technology,7.05,No,Yes,No,No,4,Yes,70,66,1,1,Placed
Female,ICSE,41.8,State,35.0,Information Technology,6.04,Yes,Yes,No,No,3,Yes,16,30,0,2,Placed
Male,State,58.6,CBSE,35.0,Electrical,6.6,No,Yes,No,Yes,2,Yes,48,43,1,1,Placed
Others,ICSE,49.6,Other,35.0,Computer Science,4.45,Yes,Yes,No,Yes,3,Yes,35,26,2,0,Placed
Female,Other,44.2,Other,59.5,Electronics,4.53,Yes,Yes,Yes,Yes,1,Yes,36,24,0,2,Not Placed
Male,ICSE,100.0,CBSE,100.0,Civil,10.0,Yes,Yes,No,Yes,4,Yes,88,69,3,3,Placed
Male,State,88.9,State,76.1,Information Technology,9.11,Yes,Yes,No,Yes,5,Yes,39,86,3,1,Placed
Female,CBSE,78.0,CBSE,51.1,Computer Science,6.79,Yes,Yes,No,Yes,1,Yes,61,72,1,0,Placed
Female,Other,56.3,Other,58.5,Other,4.19,No,No,No,Yes,3,Yes,32,34,0,2,Not Placed
Female,CBSE,72.6,State,81.4,Electronics,9.65,Yes,Yes,No,Yes,3,Yes,83,60,2,3,Placed
Female,CBSE,62.7,CBSE,76.2,Mechanical,8.95,Yes,No,Yes,Yes,3,No,84,72,1,4,Placed
Male,State,93.1,CBSE,86.4,Computer Science,9.52,No,Yes,Yes,Yes,3,Yes,80,77,2,0,Placed
Male,CBSE,73.7,CBSE,62.2,Information Technology,9.07,No,Yes,Yes,Yes,4,Yes,78,78,0,1,Placed
Male,Other,35.0,CBSE,35.0,Information Technology,3.1,Yes,Yes,Yes,Yes,3,Yes,17,40,2,3,Placed
Female,State,43.3,State,35.0,Computer Science,4.96,Yes,Yes,No,Yes,5,Yes,23,44,1,0,Placed
Female,State,51.6,State,41.9,Computer Science,4.03,Yes,Yes,No,No,3,Yes,30,3,1,1,Placed
Male,State,35.9,CBSE,35.0,Electrical,3.1,Yes,Yes,No,Yes,1,Yes,32,31,0,2,Not Placed
Male,State,54.2,CBSE,53.7,Computer Science,6.73,Yes,No,No,Yes,5,Yes,49,53,1,1,Placed
Male,CBSE,48.3,CBSE,39.2,Computer Science,5.49,Yes,No,No,Yes,2,No,40,38,1,3,Placed
Male,State,79.3,CBSE,92.5,Electronics,9.92,Yes,No,No,Yes,4,Yes,82,77,3,2,Placed
Female,State,86.6,ICSE,89.5,Civil,10.0,No,Yes,No,Yes,3,Yes,66,81,1,1,Placed
Female,CBSE,54.8,CBSE,38.3,Computer Science,6.68,No,Yes,Yes,Yes,4,Yes,31,34,2,0,Placed
Female,ICSE,88.9,State,99.6,Electronics,9.86,Yes,Yes,No,Yes,3,Yes,56,93,1,4,Placed
Male,CBSE,81.9,CBSE,60.7,Computer Science,9.01,Yes,Yes,Yes,Yes,1,Yes,95,83,0,1,Placed
Male,CBSE,38.8,CBSE,56.3,Computer Science,3.63,Yes,No,No,No,3,Yes,51,53,0,1,Not Placed
Female,CBSE,35.0,State,35.0,Computer Science,3.0,Yes,No,No,Yes,4,Yes,17,0,2,1,Placed
Female,CBSE,43.7,State,48.9,Electrical,5.3,No,Yes,Yes,Yes,4,Yes,38,44,1,2,Not Placed
Female,ICSE,35.0,State,42.7,Computer Science,4.39,No,Yes,Yes,Yes,5,Yes,44,54,3,2,Placed
Female,ICSE,62.0,State,56.2,Computer Science,5.97,Yes,No,No,Yes,4,Yes,60,43,3,1,Placed
Male,CBSE,65.5,State,60.0,Information Technology,6.54,No,Yes,No,Yes,3,No,29,37,0,1,Placed
Male,State,64.1,CBSE,56.2,Electrical,5.22,No,Yes,No,No,1,Yes,37,50,0,3,Not Placed
Male,State,61.5,State,68.4,Computer Science,6.26,Yes,Yes,Yes,Yes,4,Yes,62,67,1,2,Placed
Male,CBSE,35.0,State,36.4,Information Technology,3.53,Yes,No,No,Yes,5,Yes,15,16,0,4,Placed
Male,CBSE,69.6,CBSE,42.0,Computer Science,6.32,Yes,Yes,No,Yes,4,Yes,45,73,2,2,Placed
Male,Other,53.7,State,46.6,Information Technology,5.39,Yes,Yes,No,Yes,3,No,46,28,0,1,Placed
Female,State,60.7,CBSE,47.0,Electronics,5.93,Yes,Yes,No,Yes,5,Yes,39,56,3,2,Placed
Male,Other,89.2,CBSE,52.7,Electronics,9.19,No,Yes,No,Yes,2,Yes,94,57,1,1,Placed
Male,CBSE,35.0,State,35.0,Information Technology,4.11,Yes,Yes,Yes,No,3,Yes,40,18,0,0,Not Placed
Female,State,47.5,ICSE,48.1,Information Technology,5.98,Yes,Yes,Yes,Yes,3,Yes,37,48,1,2,Placed
Male,CBSE,48.9,ICSE,51.6,Computer Science,5.28,No,Yes,No,Yes,1,Yes,58,41,2,1,Placed
Male,CBSE,35.0,CBSE,54.8,Information Technology,6.9,Yes,Yes,No,Yes,4,Yes,37,21,2,0,Placed
Female,State,77.4,State,80.8,Computer Science,7.45,Yes,Yes,No,Yes,2,Yes,58,54,1,0,Placed
Male,CBSE,41.3,State,42.8,Civil,3.99,Yes,Yes,No,Yes,3,No,54,39,5,0,Placed
Male,CBSE,50.4,CBSE,47.7,Other,5.45,Yes,No,No,No,3,Yes,39,39,1,2,Not Placed
Male,CBSE,61.0,ICSE,40.1,Other,4.74,Yes,Yes,Yes,No,4,No,20,39,3,2,Not Placed
Male,CBSE,70.2,State,77.5,Electrical,7.53,Yes,No,No,Yes,1,Yes,72,60,0,2,Placed
Female,State,35.0,Other,48.3,Mechanical,6.77,Yes,Yes,No,Yes,3,No,55,26,2,3,Placed
Female,State,67.9,CBSE,57.3,Civil,7.7,Yes,Yes,No,Yes,3,No,54,46,1,0,Placed
Female,CBSE,91.2,CBSE,100.0,Computer Science,9.95,Yes,Yes,No,Yes,1,Yes,87,75,2,0,Placed
Female,CBSE,46.4,ICSE,42.7,Mechanical,7.77,Yes,Yes,No,Yes,4,Yes,40,44,1,3,Placed
Female,CBSE,78.4,State,86.0,Information Technology,8.87,Yes,Yes,Yes,No,2,Yes,71,55,1,2,Placed
Male,State,92.1,ICSE,61.4,Information Technology,9.33,Yes,No,No,Yes,2,No,67,87,4,1,Placed
Female,CBSE,63.5,CBSE,77.0,Civil,9.88,No,Yes,No,No,4,Yes,56,70,1,2,Placed
Male,ICSE,51.7,State,67.5,Computer Science,6.49,Yes,No,No,Yes,1,Yes,41,37,0,0,Placed
Female,CBSE,81.0,State,38.0,Information Technology,7.78,Yes,Yes,No,Yes,5,No,60,56,2,2,Placed
Female,CBSE,35.0,CBSE,35.0,Electrical,3.12,Yes,No,No,Yes,4,Yes,33,12,1,1,Not Placed
Male,ICSE,42.0,State,46.4,Computer Science,4.48,No,Yes,No,Yes,2,Yes,28,29,1,1,Not Placed
Male,State,35.0,State,43.7,Information Technology,4.46,Yes,Yes,No,Yes,3,Yes,43,26,2,3,Placed
Male,CBSE,75.2,CBSE,87.5,Electrical,10.0,Yes,Yes,Yes,Yes,5,No,80,100,1,0,Placed
Male,ICSE,42.4,CBSE,38.9,Mechanical,3.09,Yes,No,Yes,Yes,4,No,36,14,2,0,Not Placed
Female,State,52.8,State,35.0,Electronics,5.44,Yes,Yes,No,No,4,No,43,17,3,1,Placed
Female,ICSE,35.0,State,62.0,Computer Science,3.21,Yes,Yes,No,No,4,Yes,23,24,0,0,Placed
Male,State,65.5,ICSE,53.6,Information Technology,7.07,Yes,Yes,Yes,No,3,Yes,60,57,0,2,Placed
Male,State,53.7,CBSE,58.0,Electrical,6.05,No,No,No,No,2,Yes,41,49,3,0,Not Placed
Male,Other,83.5,CBSE,60.4,Electronics,7.76,Yes,Yes,Yes,No,2,Yes,74,75,2,3,Placed
Male,CBSE,54.6,Other,35.0,Electronics,7.89,Yes,Yes,No,Yes,4,No,25,63,0,0,Placed
Male,State,35.1,Other,35.0,Computer Science,3.24,Yes,No,No,Yes,5,No,0,10,0,3,Not Placed
Male,State,35.0,CBSE,35.0,Computer Science,3.85,Yes,Yes,No,Yes,3,Yes,36,41,3,0,Placed
Female,CBSE,81.1,ICSE,85.8,Other,8.85,Yes,Yes,No,No,3,Yes,53,77,1,0,Placed
Male,CBSE,52.1,CBSE,39.9,Information Technology,5.04,Yes,No,No,No,5,Yes,35,56,3,1,Placed
Male,CBSE,73.3,CBSE,63.6,Mechanical,7.94,Yes,Yes,No,Yes,2,Yes,86,68,3,1,Placed
Female,State,57.2,CBSE,35.3,Computer Science,4.5,No,Yes,No,Yes,3,No,52,54,0,2,Not Placed
Male,State,38.5,CBSE,35.9,Mechanical,3.7,Yes,Yes,Yes,Yes,3,Yes,54,0,4,2,Placed
Female,State,48.4,ICSE,37.0,Other,5.79,Yes,No,No,Yes,1,Yes,40,35,2,3,Placed
Female,CBSE,35.0,State,46.7,Electronics,4.09,Yes,Yes,No,Yes,3,Yes,25,18,3,4,Placed
Male,State,45.9,Other,44.9,Computer Science,6.32,No,No,Yes,Yes,2,Yes,34,42,2,1,Not Placed
Male,Other,60.7,State,46.9,Electronics,8.49,Yes,Yes,No,Yes,2,Yes,38,42,0,0,Placed
Male,CBSE,54.1,State,69.0,Civil,6.65,Yes,Yes,No,No,4,Yes,53,65,2,0,Placed
Male,State,35.0,State,35.0,Information Technology,3.0,Yes,Yes,Yes,Yes,4,No,0,24,1,0,Not Placed
Male,ICSE,44.1,Other,50.5,Electrical,6.87,No,Yes,No,Yes,5,No,59,39,4,0,Placed
Female,ICSE,44.3,State,35.0,Mechanical,5.09,Yes,Yes,Yes,No,5,No,42,37,1,3,Not Placed
Male,State,37.7,ICSE,39.1,Electrical,5.61,Yes,Yes,No,Yes,5,Yes,18,31,0,1,Placed
Male,ICSE,65.0,Other,56.5,Mechanical,6.58,Yes,No,No,Yes,2,Yes,40,49,2,2,Placed
Male,CBSE,52.1,CBSE,57.6,Computer Science,4.74,Yes,No,Yes,No,2,Yes,39,43,0,4,Not Placed
Female,ICSE,70.0,State,63.9,Information Technology,8.61,Yes,Yes,No,Yes,2,Yes,76,68,4,0,Placed
Male,CBSE,75.8,ICSE,97.1,Computer Science,8.72,Yes,Yes,No,Yes,3,Yes,56,51,1,2,Placed
Male,CBSE,82.1,Other,76.4,Electrical,8.19,Yes,Yes,No,Yes,2,Yes,69,74,4,2,Placed
Male,CBSE,44.6,CBSE,35.0,Civil,5.99,Yes,Yes,No,Yes,4,Yes,42,47,0,2,Placed
Others,ICSE,35.0,State,35.0,Mechanical,3.03,Yes,Yes,No,No,4,Yes,33,10,1,0,Not Placed
Male,CBSE,45.5,State,68.9,Information Technology,7.14,No,Yes,No,Yes,2,No,67,47,0,1,Placed
Female,CBSE,60.9,CBSE,63.0,Computer Science,4.2,No,No,No,Yes,4,Yes,45,33,2,2,Placed
Female,CBSE,53.4,State,40.8,Civil,4.9,Yes,Yes,No,Yes,1,Yes,18,45,1,2,Placed
Male,Other,35.0,CBSE,35.0,Information Technology,3.38,No,Yes,No,No,3,Yes,9,35,1,2,Not Placed
Female,ICSE,61.9,CBSE,35.9,Computer Science,4.7,No,Yes,No,Yes,3,Yes,59,37,1,1,Placed
Male,State,35.0,State,59.8,Mechanical,3.54,Yes,Yes,No,Yes,5,Yes,56,25,0,1,Placed
Female,State,80.3,State,49.8,Computer Science,6.5,No,Yes,Yes,Yes,5,Yes,58,61,0,3,Placed
Female,State,65.1,State,71.4,Information Technology,7.37,Yes,Yes,No,Yes,2,Yes,63,47,3,0,Placed
Male,CBSE,75.7,State,84.6,Information Technology,7.72,Yes,Yes,No,No,5,No,68,75,2,0,Placed
Male,Other,35.0,CBSE,35.0,Computer Science,3.0,Yes,Yes,No,Yes,3,No,16,21,2,0,Not Placed
Female,CBSE,76.0,CBSE,68.6,Other,7.88,No,Yes,Yes,No,3,Yes,35,69,0,0,Not Placed
Male,CBSE,35.0,CBSE,60.9,Computer Science,3.56,Yes,Yes,No,Yes,3,Yes,36,48,0,3,Placed
Male,CBSE,48.4,CBSE,35.0,Computer Science,4.1,No,Yes,Yes,Yes,4,Yes,42,38,0,2,Not Placed
Male,State,51.5,State,41.4,Computer Science,4.43,Yes,No,No,No,3,Yes,38,41,1,3,Placed
Female,State,79.9,ICSE,67.1,Civil,7.24,Yes,Yes,No,Yes,1,No,63,56,1,3,Placed
Female,State,45.2,CBSE,35.5,Information Technology,4.77,Yes,No,No,Yes,3,No,32,24,0,1,Not Placed
Male,CBSE,69.3,CBSE,66.8,Electronics,9.63,No,Yes,Yes,No,3,Yes,82,81,1,2,Placed
Male,State,73.9,State,64.7,Computer Science,6.0,No,Yes,No,Yes,3,Yes,70,62,1,1,Placed
Male,CBSE,51.2,CBSE,42.1,Computer Science,5.44,Yes,Yes,No,Yes,4,Yes,44,41,2,3,Placed
Female,CBSE,88.9,Other,73.3,Information Technology,7.55,Yes,Yes,Yes,Yes,1,Yes,46,54,3,2,Placed
Male,CBSE,60.9,State,39.9,Electrical,6.27,Yes,No,No,Yes,5,Yes,75,46,2,0,Placed
Female,ICSE,35.0,CBSE,35.0,Electrical,4.46,Yes,No,Yes,No,5,Yes,36,29,0,0,Not Placed
Male,State,100.0,CBSE,93.1,Computer Science,10.0,Yes,Yes,No,Yes,2,Yes,80,74,2,2,Placed
Female,State,78.7,State,41.3,Electronics,5.79,No,Yes,No,Yes,3,Yes,44,43,0,0,Placed
Male,State,55.4,CBSE,51.0,Electrical,6.61,Yes,Yes,Yes,No,4,Yes,40,36,1,1,Placed
Male,State,35.0,CBSE,35.0,Information Technology,4.04,Yes,Yes,Yes,No,3,Yes,38,28,1,0,Not Placed
Male,State,83.7,CBSE,54.0,Electrical,7.98,Yes,Yes,No,No,3,Yes,45,66,0,2,Placed
Female,CBSE,61.5,ICSE,68.6,Computer Science,7.89,Yes,Yes,Yes,Yes,3,Yes,62,47,1,0,Placed
Female,CBSE,72.0,State,57.0,Other,6.58,No,Yes,No,Yes,4,Yes,61,57,1,2,Placed
Male,State,43.5,CBSE,64.1,Civil,4.06,Yes,No,No,Yes,3,No,38,38,3,1,Not Placed
Female,State,85.2,State,69.2,Other,8.04,Yes,No,Yes,Yes,3,Yes,48,65,0,1,Placed
Female,ICSE,64.0,State,71.7,Mechanical,9.1,No,No,No,No,3,Yes,43,53,0,1,Placed
Female,ICSE,48.1,State,35.0,Information Technology,5.26,No,No,No,Yes,5,Yes,59,30,3,0,Placed
Male,CBSE,35.0,CBSE,35.0,Other,3.0,Yes,No,No,Yes,4,No,18,19,0,3,Not Placed
Male,CBSE,62.4,State,51.2,Computer Science,6.67,Yes,Yes,Yes,Yes,2,Yes,80,58,0,0,Placed
Male,State,35.0,Other,35.0,Information Technology,3.64,No,Yes,No,Yes,3,No,24,3,1,1,Not Placed
Female,CBSE,65.0,CBSE,60.9,Civil,7.57,No,Yes,Yes,No,3,Yes,49,45,3,0,Placed
Female,CBSE,56.4,CBSE,53.6,Civil,5.29,Yes,Yes,No,Yes,4,Yes,39,43,1,1,Placed
Female,ICSE,81.9,CBSE,75.1,Electrical,7.97,No,Yes,No,No,3,Yes,82,62,1,0,Placed
Male,CBSE,47.0,CBSE,35.0,Computer Science,6.53,No,Yes,Yes,Yes,4,Yes,51,42,0,1,Placed
Male,Other,75.8,CBSE,72.5,Electrical,8.15,Yes,Yes,No,No,4,Yes,73,66,2,0,Placed
Female,State,55.0,ICSE,35.0,Civil,4.49,No,Yes,No,Yes,2,Yes,48,31,1,1,Not Placed
Female,ICSE,81.8,Other,82.6,Computer Science,7.38,Yes,Yes,No,No,4,No,79,77,2,0,Placed
Female,CBSE,63.1,CBSE,67.4,Information Technology,9.04,Yes,Yes,Yes,Yes,4,No,89,80,1,1,Placed
Female,CBSE,35.0,State,35.0,Computer Science,6.13,Yes,Yes,Yes,Yes,4,Yes,16,23,1,0,Placed
Female,State,57.9,State,56.6,Information Technology,7.72,Yes,Yes,Yes,Yes,5,Yes,57,46,2,1,Placed
Male,CBSE,96.7,State,85.4,Other,9.47,Yes,Yes,No,Yes,3,Yes,76,98,0,1,Placed
Male,CBSE,55.5,State,50.7,Mechanical,7.52,No,Yes,No,Yes,3,No,42,61,0,2,Placed
Female,CBSE,63.3,CBSE,38.2,Civil,6.55,Yes,Yes,Yes,Yes,3,Yes,51,58,2,2,Placed
Female,CBSE,58.0,State,76.9,Other,7.96,Yes,Yes,No,Yes,3,Yes,60,69,3,1,Placed
Male,CBSE,58.3,State,35.0,Information Technology,5.51,Yes,Yes,Yes,No,3,Yes,62,37,4,3,Placed
Male,ICSE,35.0,ICSE,35.0,Electrical,3.0,Yes,Yes,Yes,Yes,5,Yes,3,9,1,2,Not Placed
Female,CBSE,60.1,ICSE,67.6,Information Technology,8.23,Yes,Yes,No,No,1,Yes,42,59,0,1,Placed
Male,CBSE,45.1,CBSE,35.0,Electrical,3.0,Yes,Yes,No,Yes,2,Yes,21,18,4,0,Placed
Male,State,59.6,CBSE,58.4,Computer Science,4.78,No,Yes,Yes,Yes,4,Yes,37,61,1,1,Placed
Female,Other,76.1,Other,56.0,Other,8.42,No,No,No,Yes,4,Yes,70,75,0,2,Placed
Female,CBSE,40.5,State,63.4,Computer Science,6.33,Yes,Yes,No,Yes,4,Yes,28,56,4,0,Placed
Female,CBSE,41.1,ICSE,51.6,Information Technology,4.12,No,Yes,No,No,1,Yes,9,37,0,3,Not Placed
Male,State,71.2,CBSE,79.6,Civil,8.41,Yes,Yes,No,Yes,3,Yes,53,65,2,1,Placed
Female,Other,44.5,State,59.3,Information Technology,3.0,Yes,No,No,Yes,2,No,35,24,0,0,Not Placed
Male,ICSE,48.6,State,35.0,Mechanical,4.49,Yes,No,No,Yes,5,Yes,18,29,2,1,Placed
Male,State,55.0,ICSE,42.8,Information Technology,5.83,Yes,Yes,No,Yes,5,No,46,60,4,1,Placed
Female,CBSE,57.4,CBSE,46.3,Civil,5.74,Yes,Yes,No,No,1,Yes,21,53,5,2,Placed
Female,State,35.0,CBSE,35.0,Computer Science,3.84,Yes,Yes,Yes,No,4,Yes,42,23,0,0,Not Placed
Female,CBSE,62.0,State,52.3,Computer Science,7.44,Yes,Yes,Yes,Yes,4,Yes,57,59,2,0,Placed
Female,State,66.9,ICSE,59.9,Computer Science,6.84,Yes,Yes,No,Yes,3,Yes,82,54,2,1,Placed
Female,State,55.6,Other,40.9,Information Technology,4.29,No,Yes,No,Yes,4,Yes,42,33,3,0,Placed
Male,Other,42.4,Other,36.7,Computer Science,4.71,Yes,Yes,No,No,2,Yes,58,49,1,0,Placed
Male,CBSE,58.8,Other,55.2,Information Technology,7.74,Yes,Yes,No,No,2,Yes,46,35,1,2,Placed
Male,CBSE,90.4,CBSE,76.4,Information Technology,7.9,Yes,Yes,No,Yes,5,Yes,51,51,1,0,Placed
Male,State,61.7,CBSE,57.4,Computer Science,5.35,Yes,Yes,No,Yes,4,Yes,37,35,2,3,Placed
Female,State,68.5,CBSE,41.9,Electronics,6.12,Yes,Yes,Yes,Yes,4,Yes,65,45,3,1,Placed
Male,ICSE,42.5,CBSE,56.0,Electrical,7.82,Yes,Yes,Yes,Yes,3,Yes,64,67,0,2,Placed
Female,CBSE,95.5,ICSE,63.1,Computer Science,6.7,Yes,Yes,No,Yes,2,No,67,58,1,1,Placed
Female,CBSE,55.5,ICSE,36.9,Electronics,6.81,Yes,Yes,No,No,3,Yes,73,55,0,0,Placed
Female,State,35.9,CBSE,35.0,Mechanical,3.33,No,Yes,Yes,Yes,5,Yes,31,41,0,0,Not Placed
Male,CBSE,41.7,State,44.8,Information Technology,5.89,No,Yes,Yes,No,1,Yes,32,37,2,2,Not Placed
